country,year,cpi_yoy
Netherlands,2010,1.275305696
Netherlands,2011,2.341070178
Netherlands,2012,2.455547653
Netherlands,2013,2.506898527
Netherlands,2014,0.97603508
Netherlands,2015,0.600248147
Netherlands,2016,0.316666667
Netherlands,2017,1.381458714
Netherlands,2018,1.703497947
Netherlands,2019,2.633699102
